Name,Price
StatTrak™ Sawed-Off | Analog Input (Factory New),1025
FAMAS | Mecha Industries (Minimal Wear),1024
M4A4 | In Living Color (Field-Tested),1024
Five-SeveN | Triumvirate (Factory New),1022
MP7 | Special Delivery (Factory New),1022
StatTrak™ MP9 | Airlock (Well-Worn),1022
Sticker | Ruby Stream (Lenticular),1022
Tec-9 | Titanium Bit (Minimal Wear),1021
Sticker | karrigan (Gold) | Paris 2023,1021
Souvenir M4A4 | Urban DDPAT (Battle-Scarred),1020
Sticker | Dust FA (Foil),1020
Sticker | Ocean Sunset Skill Surf (Holo),1018
M4A4 | Evil Daimyo (Factory New),1017
"StatTrak™ Music Kit | Noisia, Sharpened",1017
StatTrak™ USP-S | Blood Tiger (Field-Tested),1017
Sticker | broky (Gold) | Rio 2022,1016
AUG | Chameleon (Factory New),1015
MP9 | Mount Fuji (Field-Tested),1014
MP9 | Mount Fuji (Well-Worn),1014
Nova | Moon in Libra (Factory New),1013
P2000 | Scorpion (Factory New),1013
Souvenir USP-S | Ancient Visions (Field-Tested),1013
Negev | Power Loader (Factory New),1012
Sealed Graffiti | Howling Dawn,1012
Sticker | s1mple (Foil) | Berlin 2019,1012
StatTrak™ Glock-18 | Clear Polymer (Factory New),1012
Sticker | Sticker Bomb Surf Ava (Foil),1012
Sticker | fnx (Gold) | Antwerp 2022,1012
StatTrak™ Dual Berettas | Melondrama (Minimal Wear),1011
P90 | Reef Grief (Factory New),1011
Souvenir M4A4 | Urban DDPAT (Well-Worn),1010
Sticker | G2 Esports | Atlanta 2017,1009
StatTrak™ P90 | Shallow Grave (Field-Tested),1008
Sticker | Twistzz (Gold) | Paris 2023,1008
Zeus x27 | Olympus (Well-Worn),1008
"StatTrak™ Music Kit | Perfect World, Ay Hey",1008
CZ75-Auto | Green Plaid (Factory New),1007
Sticker | flamie (Foil) | Boston 2018,1007
Nova | Red Quartz (Field-Tested),1007
StatTrak™ M249 | Nebula Crusader (Minimal Wear),1006
Sticker | JUGi (Foil) | London 2018,1006
StatTrak™ MP9 | Airlock (Battle-Scarred),1004
M249 | Jungle (Minimal Wear),1004
UMP-45 | Neo-Noir (Field-Tested),1004
StatTrak™ Galil AR | Control (Factory New),1003
StatTrak™ AUG | Syd Mead (Well-Worn),1002
Souvenir Galil AR | Dusk Ruins (Minimal Wear),1002
P2000 | Imperial Dragon (Minimal Wear),1001
StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred),1001
M4A4 | Faded Zebra (Well-Worn),1000
Sticker | Lynn Vision (Holo) | Copenhagen 2024,1000
Five-SeveN | Heat Treated (Minimal Wear),1079
StatTrak™ MP7 | Bloodsport (Field-Tested),1048
StatTrak™ Glock-18 | Block-18 (Factory New),1089
SSG 08 | Parallax (Minimal Wear),1089
UMP-45 | Crimson Foil (Minimal Wear),1085
MP9 | Starlight Protector (Minimal Wear),1048
Gift Package,1043
MAC-10 | Disco Tech (Minimal Wear),1084
